Website,Link,Broadband Provider,Link Load Time (Average of 5 tries),Link is dead or timed out (Y/N)
https://www.usa.gov/,https://www.usa.gov/phone-tv-complaints,ACT-Fibernet,394.2,N
https://www.usa.gov/,https://www.usa.gov/travel-complaint,ACT-Fibernet,374.4,N
https://www.usa.gov/,https://www.usa.gov/post-office,ACT-Fibernet,419.0,N
https://www.usa.gov/,https://www.usa.gov/complaint-letter,ACT-Fibernet,425.4,N
https://www.usa.gov/,https://www.usa.gov/#,ACT-Fibernet,438.6,N
https://www.usa.gov/,https://www.usa.gov/#,ACT-Fibernet,430.0,N
https://www.usa.gov/,https://www.usa.gov/finding-home,ACT-Fibernet,542.0,N
https://www.usa.gov/,https://www.usa.gov/benefits,ACT-Fibernet,524.6,N
https://www.usa.gov/,https://www.usa.gov/financial-aid,ACT-Fibernet,475.6,N
https://www.usa.gov/,https://www.usa.gov/food-help,ACT-Fibernet,633.4,N
https://www.usa.gov/,https://www.usa.gov/grants,ACT-Fibernet,452.8,N
https://www.usa.gov/,https://www.usa.gov/help-with-bills,ACT-Fibernet,479.0,N
https://www.usa.gov/,https://www.usa.gov/military-assistance,ACT-Fibernet,445.2,N
https://www.usa.gov/,https://www.usa.gov/retirement,ACT-Fibernet,571.0,N
https://www.usa.gov/,https://www.usa.gov/about-social-security,ACT-Fibernet,440.8,N
https://www.usa.gov/,https://www.usa.gov/state-social-services,ACT-Fibernet,446.8,N
https://www.usa.gov/,https://www.usa.gov/unemployment,ACT-Fibernet,504.8,N
